+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
|   δ   |   p   |   7   |   b   |   9   |   6   |   n   |   <   |   i   |   d   |   l   |   +   |   3   |   t   |   r   |   x   |   a   |   m   |   =   |   1   |   >   |   f   |   ^   |   2   |   5   |   w   |   /   |   o   |   0   |   v   |   g   |   s   |   -   |   j   |   y   |   q   |   4   |   e   |   @   |   h   |   z   |   k   |   c   |   u   |   8   |
|  *185 |   []  | [185] |   []  | [185] | [185] |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  | [185] | [185] |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [185] |
|  *186 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [193] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *187 |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |
|  *188 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *189 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [194] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *190 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [195] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *191 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [196] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *192 | [183] | [183] | [183] | [183] | [183] | [197] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *193 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [198] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *194 | [183] | [183] | [183] | [183] | [183] | [199] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
