δ,z,c,d,l,a,g,2,j,r,t,k,-,s,4,b,6,v,h,m,&,u,n,8,1,3,e,/,y,5,w,o,x,+,9,f,p,q,7,@,i
->68*,[69],[69],[69],[69],[69],[69],[70],[69],[69],[69],[69],[71],[69],[70],[69],[70],[69],[69],[69],[],[69],[69],[70],[70],[70],[69],[71],[69],[70],[69],[69],[69],[71],[70],[69],[69],[69],[70],[71],[69]
69,[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[72],[72],[],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[73],[72]
70,[],[],[],[],[],[],[74],[],[],[],[],[73],[],[74],[],[74],[],[],[],[],[],[],[74],[74],[74],[],[73],[],[74],[],[],[],[73],[74],[],[],[],[74],[73],[]
*71,[75],[75],[75],[75],[75],[75],[76],[75],[75],[75],[75],[],[75],[76],[75],[76],[75],[75],[75],[],[75],[75],[76],[76],[76],[75],[],[75],[76],[75],[75],[75],[],[76],[75],[75],[75],[76],[],[75]
72,[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[72],[72],[],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[73],[72]
*73,[75],[75],[75],[75],[75],[75],[76],[75],[75],[75],[75],[],[75],[76],[75],[76],[75],[75],[75],[],[75],[75],[76],[76],[76],[75],[],[75],[76],[75],[75],[75],[],[76],[75],[75],[75],[76],[],[75]
74,[],[],[],[],[],[],[74],[],[],[],[],[73],[],[74],[],[74],[],[],[],[],[],[],[74],[74],[74],[],[73],[],[74],[],[],[],[73],[74],[],[],[],[74],[73],[]
*75,[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[],[75],[75],[75],[75],[75],[75],[75],[],[75],[75],[75],[75],[75],[75],[],[75],[75],[75],[75],[75],[],[75],[75],[75],[75],[75],[],[75]
*76,[],[],[],[],[],[],[76],[],[],[],[],[],[],[76],[],[76],[],[],[],[],[],[],[76],[76],[76],[],[],[],[76],[],[],[],[],[76],[],[],[],[76],[],[]
